FoRAGE_ID,Inter_ID,Source,Predation_or_Parasitism,Dim,Field,Habitat,Fresh_or_Marine,Predator_cellularity,Vert_invert_pred,Major_grouping_1_pred,Major_grouping_2_pred,Predator_scientific_name,Predator_type,Trophic_level_predator,Prey_cellularity,Vert_invert_prey,Major_grouping_1_prey,Major_grouping_2_prey,Prey,Prey_scientific_name,Prey_type,Trophic_level_prey,DataOrigin,PreyReplaced,Hours_starved,Temp_C,Interference,PredPerArena,TwoD_Arena_size_cm2,ThreeD_arena_size_cm3,Predator_mass_mg,Predator_mass_source_code,Pred Mass link,Predator_mass_identifier,Prey_mass_mg,Prey_mass_source_code,Prey_mass_identifier,Data_set,Mean_R2_of_fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,Fitted_a_2,Fitted_h_2,CV_ELPD_2,Fitted_a_3_aa,Fitted_h_3_aa,Fitted_k_3_aa,CV_ELPD_3_aa,Fitted_a_3_ref,Fitted_h_3_ref,CV_ELPD_3_ref,Fitted_k_3_ref,REF_over_type2,AA_over_type2,,
2174,34,Papanikolaou et al 2020 ECOL EVOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,5th instar nymph,3,Metazoan,Invertebrate,Insect,Lepidoptera,,Ephestia kuehniella,egg,2,Point,Y,24,25,Y,3,2.54E+02,,2.09E+00,Alternate species length,"http://www.agri.huji.ac.il/mepests/enemy/Macrolophus_pygmaeus/#:~:text=Taxonomic%20position%3A%20Insecta%2C%20Hemimetabola%2C,also%20yellowish%2Dgreen%20to%20green.",4,1.16E-03,Alternate species length,2,2179,0.81,96.67,2.82E-02,2.13E-02,3.98E-02,2.04E-02,1.59E-02,2.70E-02,,,0,0.2,-16.01,0,0.24,10931.44,-16.17,0,0.25,-15.89,8956.07,-0.00747028,0.010043525,,
2175,34,Papanikolaou et al 2020 ECOL EVOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus pygmaeus,5th instar nymph,3,Metazoan,Invertebrate,Insect,Lepidoptera,,Ephestia kuehniella,egg,2,Point,Y,24,25,Y,4,2.54E+02,,2.09E+00,Alternate species length,"http://www.agri.huji.ac.il/mepests/enemy/Macrolophus_pygmaeus/#:~:text=Taxonomic%20position%3A%20Insecta%2C%20Hemimetabola%2C,also%20yellowish%2Dgreen%20to%20green.",4,1.16E-03,Alternate species length,2,2180,0.87,109.36,1.76E-02,1.30E-02,2.31E-02,1.67E-02,1.19E-02,2.08E-02,,,0,0.23,-20.77,0,0.25,9006.93,-21.68,0,0.23,-22.05,3023.68,0.061550872,0.043636214,,
2659,35,Papanikolaou et al 2022 ECOL ENTOM,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Insect,Mite,,Tetranychus urticae,Eggs,2,Point,N,2,25,Y,1,7.07E+00,,6.13E-02,Alternate order mass,,1,2.11E-03,Alternate species length,2,2664,0.69,89.44,6.31E-04,3.81E-04,1.01E-03,5.53E-02,2.53E-02,7.83E-02,,,0,0.11,-30.04,0,0.13,10878.17,-29.87,0,0.15,-30,11239.98,-0.00123242,-0.005599392,,
2660,35,Papanikolaou et al 2022 ECOL ENTOM,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Insect,Mite,,Tetranychus urticae,Eggs,2,Point,N,2,25,Y,2,7.07E+00,,6.13E-02,Alternate order mass,,1,2.11E-03,Alternate species length,2,2665,0.62,148.56,6.40E-04,4.20E-04,1.04E-03,1.48E-02,2.26E-06,2.94E-02,,,0,0.56,-54.46,0,0.58,9958.26,-55.08,0,0.58,-55.23,2839.61,0.014117347,0.011371255,,
2661,35,Papanikolaou et al 2022 ECOL ENTOM,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Insect,Mite,,Tetranychus urticae,Eggs,2,Point,N,2,25,Y,3,7.07E+00,,6.13E-02,Alternate order mass,,1,2.11E-03,Alternate species length,2,2666,0.9,169.27,9.97E-04,7.95E-04,1.16E-03,1.81E-02,1.43E-02,2.04E-02,,,0,0.26,-52.04,0,0.29,10829.46,-52.03,0,0.27,-52.71,5122.6,0.012852008,-0.000117964,,
2662,35,Papanikolaou et al 2022 ECOL ENTOM,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Mite,Neoseiulus californicus,Adult female,3,Metazoan,Invertebrate,Insect,Mite,,Tetranychus urticae,Eggs,2,Point,N,2,25,Y,4,7.07E+00,,6.13E-02,Alternate order mass,,1,2.11E-03,Alternate species length,2,2667,0.86,197.64,1.03E-03,8.81E-04,1.19E-03,1.16E-02,9.23E-03,1.42E-02,,,0,0.34,-19.42,0,0.4,11000.36,-19.61,0,0.37,-20.28,5754.42,0.044488159,0.010000724,,
880,36,Prokopenko 2017 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Ostracoda,Heterocypris incongruens,,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Point,N,24,20,Y,1,,2.75E+00,3.76E-02,Alternate species length,,1,2.00E-04,Alternate species mass,1,885,0.23,1550.85,1.69E-04,9.87E-05,3.09E-04,3.28E-04,2.33E-10,5.99E-04,,,0,1.46,-28.05,0,2.42,9398.12,-28.23,0,2.72,-28.21,3372.92,0.005924602,0.006483359,,
881,36,Prokopenko 2017 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Ostracoda,Heterocypris incongruens,,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Point,N,24,20,Y,2,,2.75E+00,3.76E-02,Alternate species length,,1,2.00E-04,Alternate species mass,1,886,0.2,1761.3,9.96E-05,7.07E-05,2.00E-04,1.72E-04,3.16E-11,8.62E-04,,,0,0.45,-40.85,0,0.76,11020.1,-41.73,0,0.62,-40.18,7571.18,-0.016426734,0.021742476,,
882,36,Prokopenko 2017 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Ostracoda,Heterocypris incongruens,,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Point,N,24,20,Y,3,,2.75E+00,3.76E-02,Alternate species length,,1,2.00E-04,Alternate species mass,1,887,0.3,1633.03,6.48E-05,5.44E-05,8.77E-05,4.34E-10,3.14E-11,5.01E-04,,,0,0.22,-49.86,0,0.28,9660.77,-50.69,0,0.29,-50.64,10042.64,0.015755005,0.016759092,,
883,36,Prokopenko 2017 CAN J ZOOL,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Ostracoda,Heterocypris incongruens,,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus calyciflorus,,2,Point,N,24,20,Y,4,,2.75E+00,3.76E-02,Alternate species length,,1,2.00E-04,Alternate species mass,1,888,0.2,1458.98,5.27E-05,4.27E-05,2.21E-04,3.25E-10,2.07E-11,1.79E-03,,,0,0.43,-44.04,0,0.46,11959.32,-43.84,0,0.45,-44.32,5360.98,0.006332596,-0.004377878,,
1601,37,Schmidt et al. 2014 OCEOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa milvina,Adult female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Adult?,,Point,N,168,,Y,1,7.09E+01,,2.50E+02,Alternate species mass,,1,4.30E+01,Average species mass,4,1606,0.06,73.85,3.01E-02,9.95E-03,5.78E-01,3.04E-02,2.28E-02,3.65E-02,,,0,0.25,-56.35,0,0.28,12105.04,-55.66,0,0.28,-56.1,6957.34,-0.004406576,-0.01215466,,
1602,37,Schmidt et al. 2014 OCEOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa milvina,Adult female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Adult?,,Point,N,168,,Y,2,1.54E+02,,2.50E+02,Alternate species mass,,1,4.30E+01,Average species mass,4,1607,0.61,63.73,9.53E-03,6.13E-03,1.43E-02,2.01E-02,1.30E-02,2.69E-02,,,0,0.25,-25.53,0,0.29,11851.12,-25.38,0,0.28,-25.23,5715.77,-0.011944972,-0.005853428,,
1603,37,Schmidt et al. 2014 OCEOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa milvina,Adult female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Adult?,,Point,N,168,,Y,4,3.30E+02,,2.50E+02,Alternate species mass,,1,4.30E+01,Average species mass,4,1608,0.66,47.24,9.61E-03,7.44E-03,1.61E-02,1.88E-02,5.29E-03,3.40E-02,,,0.32,0.11,-133.06,0.52,0.12,30.06,-131.92,0.5,0.12,-132.06,14.74,-0.007537175,-0.008563705,,
1604,37,Schmidt et al. 2014 OCEOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa milvina,Adult female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Adult?,,Point,N,168,,Y,8,5.11E+02,,2.50E+02,Alternate species mass,,1,4.30E+01,Average species mass,4,1609,0.99,-11.87,6.16E-03,5.80E-03,6.75E-03,5.58E-03,3.64E-11,1.27E-02,,,0.01,0.02,-144.08,0.01,0.03,174.51,-144.34,0.01,0.03,-144.68,165.35,0.004197914,0.001803605,,
2239,38,Stier and White 2014 COR REEFS,Predator,2.5,Y,Aquatic,Marine,Metazoan,Vertebrate,Fish,Perciformes,Cephalopholis fulva,,,Metazoan,Vertebrate,Fish,Labriformes,,Thalassoma  bifasciatum,,,Point,N,,,Y,2,6.00E+05,,3.01E+05,,https://peerj.com/articles/825/,,,,,2244,0.31,1.46,1.36E+00,3.62E-01,1.51E+01,3.21E-01,7.21E-02,5.26E-01,Pred densities are approximate number per m2,,0.03,0.06,-149.37,0.04,0.06,247.27,-147.65,0.04,0.07,-147.17,152.95,-0.014687992,-0.011504123,,
2240,38,Stier and White 2014 COR REEFS,Predator,2.5,Y,Aquatic,Marine,Metazoan,Vertebrate,Fish,Perciformes,Cephalopholis fulva,,,Metazoan,Vertebrate,Fish,Labriformes,,Thalassoma  bifasciatum,,,Point,N,,,Y,4,6.00E+05,,3.01E+05,,https://peerj.com/articles/825/,,,,,2245,0.36,-4.78,2.27E-01,7.36E-02,5.50E-01,4.21E-01,1.37E-12,1.05E+00,Pred densities are approximate number per m2,,0,0,-134.94,0,0,113211.95,-132.83,0,0.01,-130.37,84150.74,-0.033909349,-0.015679042,,
2241,38,Stier and White 2014 COR REEFS,Predator,2.5,Y,Aquatic,Marine,Metazoan,Vertebrate,Fish,Perciformes,Cephalopholis fulva,,,Metazoan,Vertebrate,Fish,Labriformes,,Thalassoma  bifasciatum,,,Point,N,,,Y,5,6.00E+05,,3.01E+05,,https://peerj.com/articles/825/,,,,,2246,0.57,-22.18,1.36E-01,6.78E-02,5.47E-01,3.43E-01,3.35E-12,2.89E+00,Pred densities are approximate number per m2,,0,0.17,-48.68,0,0.37,18967.7,-49.65,0,0.27,-48.69,16632.38,0.000217746,0.01981306,,
1681,39,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Mediterranean flour moth,Anagasta kuehniella,Small larvae,2,Point,N,,,Y,1,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,2.25E+01,Original species mass,1,1686,0.65,-7.91,1.77E-02,9.49E-03,2.74E-02,1.62E-01,3.72E-02,2.04E-01,,,0,0.02,-108.5,0,0.02,109676.53,-107.41,0,0.02,-107.09,27266.54,-0.012990822,-0.0100692,,
1684,40,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Mediterranean flour moth,Anagasta kuehniella,Medium larvae,2,Point,N,,,Y,1,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,3.00E+01,Original species mass,2,1689,0.22,9.16,4.10E-02,2.14E-02,1.19E-01,2.67E-01,1.88E-01,3.68E-01,,,0,0,-116.48,0,0,146852.74,-110.43,0,0,-112.43,38856.61,-0.034776937,-0.051915118,,
1687,41,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Indianmeal moth,Plodia interpunctella,Small larvae,2,Point,N,,,Y,1,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,1.25E+01,Original species mass,4,1692,0.36,12.69,2.37E-02,1.13E-02,5.34E-02,1.82E-01,1.08E-01,2.48E-01,,,0,0,-138.51,0,0,131831.01,-136.08,0,0,-131.15,120165.92,-0.05318843,-0.017532209,,
1690,42,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Indianmeal moth,Plodia interpunctella,Medium larvae,2,Point,N,,,Y,1,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,1.75E+01,Original species mass,5,1695,0.35,14.17,1.35E-02,5.31E-03,3.78E-02,1.38E-01,1.24E-03,2.80E-01,,,0,0.03,-105.28,0,0.03,86532.22,-105.71,0,0.03,-105.83,32681.57,0.005187,0.004032985,,
1682,39,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Mediterranean flour moth,Anagasta kuehniella,Small larvae,2,Point,N,,,Y,2,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,2.25E+01,Original species mass,1,1687,0.35,-2.51,1.42E-02,8.00E-03,2.94E-02,1.87E-01,1.18E-01,2.44E-01,,,0,0.29,-94.17,0,0.72,82313.76,-93.97,0,0.79,-94.07,24613.73,-0.001115822,-0.002205173,,
1685,40,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Mediterranean flour moth,Anagasta kuehniella,Medium larvae,2,Point,N,,,Y,2,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,3.00E+01,Original species mass,2,1690,0.4,-2,1.28E-02,7.15E-03,3.50E-02,1.90E-01,1.19E-01,2.45E-01,,,0,0.01,-125.84,0,0.01,115968.4,-124.23,0,0.01,-120.43,74306.96,-0.04296268,-0.012795725,,
1688,41,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Indianmeal moth,Plodia interpunctella,Small larvae,2,Point,N,,,Y,2,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,1.25E+01,Original species mass,4,1693,0.44,-2.16,1.01E-02,5.54E-03,2.56E-02,1.61E-01,9.32E-02,2.67E-01,,,0,0,-128.41,0,0.01,110404.89,-127.69,0,0.01,-125.73,82609.87,-0.020852532,-0.005646815,,
1691,42,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Indianmeal moth,Plodia interpunctella,Medium larvae,2,Point,N,,,Y,2,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,1.75E+01,Original species mass,5,1696,0.52,-10.56,1.35E-02,7.51E-03,2.24E-02,1.85E-01,1.45E-01,2.20E-01,,,0.41,0.39,-76.62,0.5,2.64,11.63,-76.6,0.49,2.64,-76.67,12.31,0.000690394,-0.000287141,,
1683,39,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Mediterranean flour moth,Anagasta kuehniella,Small larvae,2,Point,N,,,Y,4,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,2.25E+01,Original species mass,1,1688,0.73,-28.24,6.10E-03,4.25E-03,1.12E-02,1.93E-01,1.40E-01,2.80E-01,,,0,0,-115.38,0,0,70134.95,-114.57,0,0,-114.81,24763.06,-0.004963776,-0.007049529,,
1686,40,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Mediterranean flour moth,Anagasta kuehniella,Medium larvae,2,Point,N,,,Y,4,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,3.00E+01,Original species mass,2,1691,0.68,-29.73,6.79E-03,4.73E-03,1.05E-02,2.03E-01,1.57E-01,2.46E-01,,,0,0.01,-124.95,0,0.01,144952.55,-121.46,0,0.01,-109.44,106487.9,-0.124110169,-0.027880866,,
1689,41,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Indianmeal moth,Plodia interpunctella,Small larvae,2,Point,N,,,Y,4,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,1.25E+01,Original species mass,4,1694,0.64,-13.06,6.45E-03,4.62E-03,1.11E-02,1.62E-01,1.11E-01,2.25E-01,,,0,0.01,-118.16,0,0.01,110528.2,-116.2,0,0.01,-116.1,34464.67,-0.017366363,-0.016544339,,
1692,42,Taylor 1988 J ANIMAL ECO,Parasitoid,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Bracon hebetor,Adult female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Indianmeal moth,Plodia interpunctella,Medium larvae,2,Point,N,,,Y,4,1.77E+02,,1.06,,"https://jad.hcmuaf.edu.vn/index.php/jad/article/view/1126#:~:text=Females%20of%20B.,was%203.5%20%200.21%20mm.",,1.75E+01,Original species mass,5,1697,0.64,-15.98,6.39E-03,4.36E-03,1.01E-02,1.78E-01,1.39E-01,2.40E-01,,,0.06,0.01,-56.09,0.09,0.01,105.43,-56.54,0.08,0.01,-56.77,48.78,0.012195958,0.008110123,,
677,43,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,1,,5.00E+02,6.63E-02,Original length,,1,3.91E+00,Original length,6,682,0.66,124.58,2.51E-04,1.78E-04,3.59E-04,5.54E-02,2.40E-02,9.36E-02,,,0.03,0.01,-55.14,0.04,0.01,141.02,-55.06,0.04,0.01,-55.31,87.49,0.003147945,-0.001398431,,
678,43,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,2,,5.00E+02,6.63E-02,Original length,,1,3.91E+00,Original length,6,683,0.58,72.22,1.86E-04,1.31E-04,2.74E-04,1.14E-01,6.41E-02,1.73E-01,,,0.04,0.03,-61.15,0.07,0.03,181.48,-59.81,0.08,0.03,-58.62,150.01,-0.041445008,-0.021950802,,
679,43,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,4,,5.00E+02,6.63E-02,Original length,,1,3.91E+00,Original length,6,684,0.59,5.65,1.37E-04,9.47E-05,2.12E-04,2.14E-01,1.23E-01,3.18E-01,,,27240.63,3.28,-6.77,28236.39,26.35,0.86,-6.9,28031.91,25.64,-6.89,0.88,0.017573236,0.019274139,,
680,43,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,8,,5.00E+02,6.63E-02,Original length,,1,3.91E+00,Original length,6,685,0.61,-15.04,7.24E-05,5.07E-05,1.08E-04,1.78E-01,8.28E-02,3.24E-01,,,35816.85,5.24,-1.31,36056.21,34.66,1.1,-1.64,35681.63,35.76,-1.71,1.09,0.30631224,0.254318454,,
681,43,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,16,,5.00E+02,6.63E-02,Original length,,1,3.91E+00,Original length,6,686,0.67,-20.2,4.85E-05,3.72E-05,7.08E-05,1.15E-01,1.52E-02,2.42E-01,,,0,1.58,-25.46,0.01,4.41,1809.98,-25.98,0,3.89,-25.39,1228.16,-0.002736743,0.020398747,,